2018
gelb=GelberSack(gelb)
bio=Biomüll(braun)
papier=Papiermüll(blau)
rest=Restmüll(schwarz)
glas=Glassmüll(grün)
metall=Metall(orange)
schadstoff=Schadstoffmobil(rot)
frei=keineTonne(grau)
feiertag=Feiertag(Stern)

Kalenderwoche	Montag	Tonne1	Tonne2	Dienstag	Tonne1	Tonne2	Mittwoch	Tonne1	Tonne2	Donnerstag	Tonne1	Tonne2	Freitag	Tonne1	Tonne2	Samstag	Tonne1	Tonne2	Sonntag	Tonne1	Tonne2
KW36	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW37	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	schadstoff	frei	Sun=	frei	frei
KW38	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	frei	frei	Sun=	frei	frei
KW39	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW40	Mon=	frei	frei	Tue=	frei	frei	Wed=	feiertag	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW41	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW42	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	frei	frei	Sun=	frei	frei
KW43	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW44	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	feiertag	frei	Fri=	frei	frei	Sat=	schadstoff	frei	Sun=	frei	frei
KW45	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW46	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	frei	frei	Sun=	frei	frei
KW47	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW48	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW49	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW50	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	schadstoff	frei	Sun=	frei	frei
KW51	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW52	Mon=	frei	frei	Tue=	feiertag	frei	Wed=	feiertag	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
